Row no.,Region,Month:,Year:,Year & moths, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
333,Jammu & Kashmir,2,2020,202002, 29-02-2020, M,20.78,3223513,39.17
334,Jammu & Kashmir,3,2020,202003, 31-03-2020, M,15.5,3359107,38.18
335,Jammu & Kashmir,5,2020,202005, 31-05-2020, M,18.74,3246493,38.21
336,Jammu & Kashmir,6,2020,202006, 30-06-2020, M,17.92,3202336,37.24
337,Jammu & Kashmir,7,2020,202007, 31-07-2020, M,10.88,3558889,38.03
338,Jammu & Kashmir,8,2020,202008, 31-08-2020, M,11.09,3429950,36.66
339,Jammu & Kashmir,9,2020,202009, 30-09-2020, M,16.17,3210281,36.31
340,Jammu & Kashmir,10,2020,202010, 31-10-2020, M,16.14,3106691,35.05
341,Jammu & Kashmir,11,2020,202011, 30-11-2020, M,8.55,3105513,32.07
342,Jammu & Kashmir,12,2020,202012, 31-12-2020, M,16.61,3333288,37.67
343,Jammu & Kashmir,1,2021,202101, 31-01-2021, M,21.9,3308895,39.83
344,Jammu & Kashmir,2,2021,202102, 28-02-2021, M,14.21,3075564,33.64
345,Jammu & Kashmir,3,2021,202103, 31-03-2021, M,9.53,2994081,30.99
346,Jammu & Kashmir,4,2021,202104, 30-04-2021, M,11.45,3578310,37.76
347,Jammu & Kashmir,5,2021,202105, 31-05-2021, M,11.92,3494510,36.99
348,Jammu & Kashmir,6,2021,202106, 30-06-2021, M,10.57,3273797,34.06
349,Jammu & Kashmir,7,2021,202107, 31-07-2021, M,15.4,3383418,37.13
350,Jammu & Kashmir,8,2021,202108, 31-08-2021, M,13.57,3518412,37.72
351,Jammu & Kashmir,9,2021,202109, 30-09-2021, M,21.45,3335458,39.25
352,Jammu & Kashmir,10,2021,202110, 31-10-2021, M,22.2,3185277,37.77
353,Jammu & Kashmir,11,2021,202111, 30-11-2021, M,21.17,3480110,40.64
